activation_output,bias_change,description,epoch,error,error_sum,final_error,from_neuron,gradient,input_0,input_1,loss_value,neuron_index,new_bias,new_weight,old_bias,old_weight,prediction,raw_error,sample_index,sigmoid_derivative,step_type,target,target_0,to_neuron,weight_change,weighted_sum
,,Processing sample 3 in epoch 1,1,,,,,,[1.],[1.],,,,,,,,,3,,sample_info,,[0.],,,
0.7608980893674518,,Hidden neuron 0 forward pass,,,,,,,,,,0,,,,,,,,,forward_hidden,,,,,[1.15760957]
0.7805430622601517,,Hidden neuron 1 forward pass,,,,,,,,,,1,,,,,,,,,forward_hidden,,,,,[1.26883388]
0.5313431938317346,,Output neuron 0 forward pass,,[-0.53134319],,,,,,,,0,,,,,,,,,forward_output,[0.],,,,[0.12553738]
,,MSE loss calculation,,,,,,,,,0.28232558963130827,,,,,,,,,,loss_calculation,,,,,
,,Output neuron 0 error calculation,,,,[-0.13231381],,,,,,0,,,,,0.5313431938317346,[-0.53134319],,0.24901760420042632,backprop_output_error,[0.],,,,
,,Hidden neuron 0 error calculation,,,[0.01164391],[0.0021184],,,,,,0,,,,,,,,0.1819321869644131,backprop_hidden_error,,,,,
,,Hidden neuron 1 error calculation,,,[-0.02124652],[-0.00363944],,,,,,1,,,,,,,,0.17129559021769666,backprop_hidden_error,,,,,
,,Weight update: input 0 -> hidden 0,,,,,0,[0.0010592],,,,,,[0.54924197],,[0.54818276],,,,,weight_update_input_hidden,,,0,[0.0010592],
,,Weight update: input 0 -> hidden 1,,,,,0,[-0.00181972],,,,,,[0.33357822],,[0.33539794],,,,,weight_update_input_hidden,,,1,[-0.00181972],
,,Weight update: input 1 -> hidden 0,,,,,1,[0.0010592],,,,,,[0.61394098],,[0.61288178],,,,,weight_update_input_hidden,,,0,[0.0010592],
,,Weight update: input 1 -> hidden 1,,,,,1,[-0.00181972],,,,,,[0.93093871],,[0.93275843],,,,,weight_update_input_hidden,,,1,[-0.00181972],
,,Weight update: hidden 0 -> output 0,,,,,0,[-0.05033866],,,,,,[-0.1383409],,[-0.08800224],,,,,weight_update_hidden_output,,,0,[-0.05033866],
,,Weight update: hidden 1 -> output 0,,,,,1,[-0.05163831],,,,,,[0.10893845],,[0.16057676],,,,,weight_update_hidden_output,,,0,[-0.05163831],
,[0.0010592],Bias update: hidden neuron 0,,,,,,[0.0010592],,,,0,[-0.00239577],,[-0.00345497],,,,,,bias_update_hidden,,,,,
,[-0.00181972],Bias update: hidden neuron 1,,,,,,[-0.00181972],,,,1,[-0.0011422],,[0.00067752],,,,,,bias_update_hidden,,,,,
,[-0.0661569],Bias update: output neuron 0,,,,,,[-0.0661569],,,,0,[0.00100414],,[0.06716105],,,,,,bias_update_output,,,,,
